Pair_name	fs_name	L	theta	nuB	nuF	T	fs_sanitycheck	-2LL_model	AIC
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1145769.2678398434	0.009640473672666926	0.00018504920590026113	4.252440653241093e-05	3981059.8794063646	-731909.6084408949	1463825.2168817897
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1144245.8300389345	0.0007561908705771879	0.00015226823025186082	1.7263469126951133e-05	3981059.8794063646	-731894.9352577346	1463795.8705154692
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	971909.6897577174	9.109327392337352	0.4069617819177015	0.3797387918598924	3981059.8794063646	-749763.2469137182	1499532.4938274364
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	763983.8167927228	8.74679540886182	0.7438319110617447	0.7936499127314228	3981059.8794063646	-783297.8533956853	1566601.7067913706
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	206378.41327644957	9.016421089314074	5.565770042878819	4.820308475177417	3981059.8794063646	-1082089.1888841982	2164184.3777683964
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	219253.42003082286	8.895751017250879	5.35272137712529	4.182130785111292	3981059.8794063646	-1120241.105918363	2240488.211836726
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1119872.5163191324	9.684504593792212	0.16095894947209685	0.09240311387677082	3981059.8794063646	-738790.5327988398	1477587.0655976797
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	237874.6166269169	9.751554860745584	4.1191936979970345	4.9917692648759955	3981059.8794063646	-946789.4785074877	1893584.9570149754
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1065947.1004644418	9.406917731200506	0.26982509028144486	0.20555291948011312	3981059.8794063646	-741380.3702010717	1482766.7404021434
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	469418.881185711	7.6354301080753695	1.5263115751809904	3.9998138791174496	3981059.8794063646	-836196.9125040497	1672399.8250080994
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	987375.3068787794	4.377698364649391	0.7269116147299147	4.8685411727933685	3981059.8794063646	-847568.8660717545	1695143.732143509
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	514523.2040365705	9.30198315063078	1.355937605483387	2.3318388137352892	3981059.8794063646	-819168.0713617684	1638342.1427235368
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	745918.7906326437	9.98999988185419	0.7603191379122812	0.722730321381246	3981059.8794063646	-790438.0685399098	1580882.1370798196
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	884088.2105810824	8.825942196689137	0.6561335480998367	3.4822949908962633	3981059.8794063646	-846898.4807164216	1693802.9614328432
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1146357.331752995	0.0002365052400809107	0.00013429941412098557	1.0054325953038002e-05	3981059.8794063646	-731914.039113518	1463834.078227036
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	171805.91491748253	9.785172821403526	7.841389773602364	4.838846531129152	3981059.8794063646	-1294883.5144793163	2589773.0289586326
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	224051.64115115156	2.9510011220426104	6.452613452718647	4.860939305761257	3981059.8794063646	-1218582.157343649	2437170.314687298
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1142667.0762266251	0.0058461264116703455	0.00016328842857268823	3.3661583575148154e-05	3981059.8794063646	-731895.4849579205	1463796.969915841
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	243833.05407646272	8.242116736551042	4.22588489432137	4.6687729118961645	3981059.8794063646	-977573.29975463	1955152.59950926
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	279199.7738599122	8.07819976900367	3.30319567129643	4.800332620826014	3981059.8794063646	-904830.1341781829	1809666.2683563659
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	388698.4753366195	7.770843065211201	1.9774771795801438	4.580775253438977	3981059.8794063646	-845486.011811899	1690978.023623798
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	287008.1450101841	9.788479862682614	3.1481744513091794	4.2022707861266575	3981059.8794063646	-903449.6756044868	1806905.3512089737
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	851314.8027045515	7.5926587878270775	0.6977042861463646	3.2623326644470474	3981059.8794063646	-843443.13300485	1686892.2660097
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1146102.9948959637	0.001509539377412561	6.0812277587500044e-05	1.1618220810237836e-05	3981059.8794063646	-731904.8940777543	1463815.7881555087
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	987141.9754067449	9.74192329710365	0.3750222669330337	0.3316963003211992	3981059.8794063646	-746492.2261393502	1492990.4522787004
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1021151.0180819196	9.867725988630653	0.36237023896254233	0.4256432831530118	3981059.8794063646	-753164.8160143532	1506335.6320287064
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	327121.796800388	7.369530862675174	2.570863617473414	4.997411048866467	3981059.8794063646	-866608.6118671071	1733223.2237342142
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	262185.81284259167	9.867490338774829	3.6573023949317762	4.31701456554703	3981059.8794063646	-940165.4911469859	1880336.9822939718
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	201093.06460112357	9.94095578395788	5.704428443172671	4.821748138591912	3981059.8794063646	-1093131.8309337283	2186269.6618674565
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	975800.5124855643	9.308841608834955	0.3986162122726359	0.3687725266810162	3981059.8794063646	-748798.2595953003	1497602.5191906006
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	431467.12093160587	9.680578948367222	1.6135062470455324	4.576568078929906	3981059.8794063646	-833583.0105132503	1667172.0210265005
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	596308.9092446667	7.7302309752160685	1.112427326454642	2.2834747848413537	3981059.8794063646	-818423.3276317782	1636852.6552635564
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	776678.4859607795	3.028874175768391	3.5639572679065403	0.07998006839449359	3981059.8794063646	-1266974.550299422	2533955.100598844
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	393435.7408429898	9.512479783558348	1.8455990038428998	4.718759843495783	3981059.8794063646	-836535.2791739453	1673076.5583478906
KY15_US-Vir18-VA3	dadi_objects_duos/probs.KY15.US-Vir18-VA3.delim	4369198	1142892.4503523263	0.03637728150697393	0.00018040836637479607	5.397256102076338e-05	3981059.8794063646	-731892.8457819325	1463791.691563865
