GO:0000775	chromosome, centromeric region	108007108 108009086 108009712 108010230 108012692 108016922
GO:0000776	kinetochore	108005850 108006913 108007369 108007709 108009779 108009892 108010671 108011427 108012990 108013324 108014316 108014562 108017120 108017336 108017788 108021060
GO:0000779	condensed chromosome, centromeric region	108014309 108015405
GO:0000781	chromosome, telomeric region	108009605
GO:0000785	chromatin	108004710 108004905 108005138 108005755 108005787 108005882 108006435 108006860 108007210 108009158 108009270 108009447 108009506 108009712 108009849 108009886 108010230 108010327 108010659 108010991 108011163 108011494 108011894 108012022 108012202 108012221 108012500 108012595 108012972 108012977 108013089 108013156 108013348 108013393 108013619 108013703 108014581 108015027 108015091 108015322 108016535 108016647 108016862 108016888 108017489 108017585 108017878 108017941 108018466 108018758 108018855 108019309 108019723 108019754 108019888 108020082 108020191 108020231 108020351 108020361 108020951 108021111 108021200 108021606 108021664 118878302 139352213 139352256 139352258 139352261 139352264 139352267 139352272 139352276 139352280 139352284 139352286 139352289 139352291 139352293 139352297 139352301 139352305 139352325 139352330 139352335 139352338 139352343 139352345 139352350 139352353 139352356 139352361 139352365 139352372 139352376 139352384 139352391 139352394 139352397 139352398 139352402 139352407 139352411 139352414 139352419 139352423 139352425 139352427 139352541 139352573 139353270 139354085 139354950 139355176
GO:0000786	nucleosome	108006791 108006860 108006860 108009158 108014624 108016763 108016763 108017891 108017891 108018019 108018019 108018758 108018758 108019847 108019847 108021408 108021408 108021824 108021824 139352208 139352209 139352209 139352210 139352211 139352212 139352212 139352213 139352213 139352214 139352215 139352216 139352216 139352217 139352218 139352219 139352219 139352220 139352221 139352223 139352224 139352226 139352227 139352229 139352229 139352230 139352232 139352234 139352235 139352236 139352236 139352237 139352238 139352239 139352239 139352240 139352241 139352241 139352242 139352243 139352243 139352244 139352244 139352245 139352246 139352246 139352247 139352248 139352248 139352250 139352251 139352251 139352252 139352253 139352253 139352254 139352255 139352255 139352256 139352256 139352257 139352257 139352258 139352258 139352259 139352260 139352260 139352261 139352261 139352262 139352263 139352263 139352264 139352264 139352265 139352265 139352266 139352267 139352267 139352268 139352269 139352269 139352270 139352271 139352271 139352272 139352272 139352273 139352274 139352274 139352275 139352276 139352276 139352277 139352278 139352278 139352279 139352280 139352280 139352281 139352282 139352282 139352283 139352284 139352284 139352285 139352285 139352286 139352286 139352287 139352288 139352288 139352289 139352289 139352290 139352290 139352291 139352291 139352292 139352292 139352293 139352293 139352294 139352294 139352295 139352296 139352296 139352297 139352297 139352298 139352298 139352299 139352300 139352300 139352301 139352301 139352302 139352302 139352303 139352304 139352304 139352305 139352305 139352323 139352324 139352324 139352325 139352325 139352326 139352327 139352327 139352328 139352329 139352329 139352330 139352330 139352331 139352332 139352332 139352333 139352334 139352334 139352335 139352335 139352336 139352336 139352337 139352338 139352338 139352339 139352340 139352340 139352341 139352342 139352342 139352343 139352343 139352344 139352344 139352345 139352345 139352346 139352347 139352347 139352348 139352349 139352349 139352350 139352350 139352351 139352352 139352352 139352353 139352353 139352354 139352355 139352355 139352356 139352356 139352357 139352358 139352358 139352359 139352360 139352360 139352361 139352361 139352362 139352363 139352363 139352364 139352365 139352365 139352366 139352367 139352367 139352368 139352368 139352369 139352369 139352370 139352371 139352371 139352372 139352372 139352373 139352374 139352374 139352375 139352376 139352376 139352377 139352378 139352378 139352379 139352379 139352380 139352380 139352381 139352381 139352382 139352383 139352384 139352384 139352385 139352386 139352386 139352387 139352387 139352388 139352388 139352389 139352390 139352390 139352391 139352391 139352392 139352393 139352393 139352394 139352394 139352395 139352396 139352396 139352397 139352397 139352398 139352398 139352399 139352400 139352400 139352401 139352402 139352402 139352403 139352404 139352404 139352405 139352406 139352406 139352407 139352407 139352408 139352409 139352409 139352410 139352411 139352411 139352412 139352413 139352413 139352414 139352414 139352415 139352416 139352416 139352417 139352418 139352418 139352419 139352419 139352420 139352421 139352421 139352422 139352423 139352423 139352424 139352425 139352425 139352426 139352427 139352427 139352428 139352429 139352429 139352430 139352431 139352432 139352432 139352433 139352434 139352435 139352436 139352436 139352437 139352438 139352438 139352439 139352439 139352440 139352440 139352441 139352441 139352442 139352443 139352443 139352444 139352445 139352445 139352446 139352447 139352447 139352448 139352449 139352449 139352454 139352456 139352521 139352521 139352541 139352541 139352559 139352560 139352567 139352573 139352573 139352582 139352595 139352596 139352954 139353345 139354938 139354938 139354994 139355176 139355176 139355184 139355184
GO:0000793	condensed chromosome	108009050 108019428
GO:0000794	condensed nuclear chromosome	108010210 108011710 108019454
GO:0000795	synaptonemal complex	108017467 108019006
GO:0000796	condensin complex	108008902 108008902 108009050 108010938 108014309 108015405 108021126 108021713 108021713
